col_id,id,likes_count,from_id,from_name,message,created_time,type,link,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count,datetime,month,like_button,positive_reaction
81,184377348315163_1405955522824000,2818,184e12,Ford UK,The evolution of a global icon. This is the story of the Ford Mustang.,2017-08-18T15:00:00Z,link,https://www.pistonheads.com/news/ph-advertorial/promoted-the-ford-mustang-story/36510,219,492,195,2,24,0,0,2017-08-18T15:00:00Z,2017-08,3039,221
82,184377348315163_1406839872735565,29,184e12,Ford UK,"On to Vuelta a España<U+200B>! Good luck to Chris Froome<U+200B> and Team Sky<U+200B>. Known for barren landscapes and tough, steep climbs - this late-season test is often the closest and most entertaining of the Grand Tours.",2017-08-18T17:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1406838939402325/?type=3,0,2,0,0,0,0,0,2017-08-18T17:00:00Z,2017-08,29,0
83,184377348315163_1408054202614132,612,184e12,Ford UK,What's the best music to drive to? Joe Goddard delves into the Science of Sound with VICE and Spotify. Watch the film in full: https://youtu.be/41fxIafiCR4,2017-08-21T06:30:00Z,video,https://www.facebook.com/forduk/videos/1408054202614132/,35,66,18,3,4,1,1,2017-08-21T06:30:00Z,2017-08,639,25
84,184377348315163_1409265399159679,43,184e12,Ford UK,It turns out the average modern family has great taste...,2017-08-21T09:22:07Z,link,https://www.metro.news/up-at-6-55am-and-a-ford-in-drive-thats-family-life/716692/,12,2,0,0,0,0,0,2017-08-21T09:22:07Z,2017-08,43,0
85,184377348315163_1404092186343667,334,184e12,Ford UK,Goosebumps come as standard.,2017-08-21T11:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1404092016343684/?type=3,16,24,37,0,3,0,0,2017-08-21T11:00:00Z,2017-08,374,40
86,184377348315163_1405960962823456,3607,184e12,Ford UK,From rally to the road. This is the story of the Ford Focus RS.,2017-08-24T15:00:00Z,link,https://www.pistonheads.com/news/ph-advertorial/promoted-the-rs-story/36515,375,767,136,0,8,0,0,2017-08-24T15:00:00Z,2017-08,3751,144
87,184377348315163_1404005543018998,310,184e12,Ford UK,"Some things sleep at night, others come to life.",2017-08-25T09:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1404004646352421/?type=3,16,12,35,1,8,0,0,2017-08-25T09:00:00Z,2017-08,354,44
88,184377348315163_1412951482124404,1322,184e12,Ford UK,Got to love bank holidays <ed><U+00A0><U+00BD><ed><U+00B8><U+0085>,2017-08-25T15:00:00Z,video,https://www.facebook.com/forduk/videos/1412951482124404/,832,1099,52,466,4,3,2,2017-08-25T15:00:00Z,2017-08,1849,522
89,184377348315163_1406828069403412,5234,184e12,Ford UK,It's okay to stare.,2017-08-28T09:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1406827946070091/?type=3,108,169,348,13,53,4,1,2017-08-28T09:00:00Z,2017-08,5653,414
90,184377348315163_1413166678769551,14,184e12,Ford UK,What's the best music to drive to? Berlin House duo Mat.Joe uncover the Science of Sound with VICE and Spotify. Watch the creation of their track 'Don't Hold Back' here: https://youtu.be/t-JtaneBOpg,2017-08-29T14:00:00Z,video,https://www.facebook.com/forduk/videos/1413166678769551/,7,11,0,0,0,0,0,2017-08-29T14:00:00Z,2017-08,14,0
91,184377348315163_1404097413009811,1581,184e12,Ford UK,Track mode enabled. Let's go...,2017-09-01T09:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1404097163009836/?type=3,32,27,43,13,8,1,1,2017-09-01T09:00:00Z,2017-09,1647,64
92,184377348315163_1413153682104184,2271,184e12,Ford UK,Good luck Team Ford EcoBoost in WTS Coalville this Sunday <ed><U+00A0><U+00BC><ed><U+00BF><U+0086><ed><U+00A0><U+00BC><ed><U+00BF><U+0081><ed><U+00A0><U+00BD><ed><U+00BA><U+00B4>,2017-09-01T14:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1413152195437666/?type=3,26,50,25,2,7,1,2,2017-09-01T14:00:00Z,2017-09,2308,34
93,184377348315163_1419529961466556,1224,184e12,Ford UK,"Good luck Team Sky, from everyone at Ford! <ed><U+00A0><U+00BD><ed><U+00BA><U+00B4>
http://bit.ly/2gw51lZ",2017-09-02T14:00:00Z,video,https://www.facebook.com/TeamSky/videos/10155825126184873/,37,0,21,0,5,1,0,2017-09-02T14:00:00Z,2017-09,1251,26
94,184377348315163_1419539668132252,8347,184e12,Ford UK,Welcome back to road racing Geraint. Good luck in the Tour of Britain! <ed><U+00A0><U+00BD><ed><U+00BA><U+00B4>,2017-09-03T10:00:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1419536241465928/?type=3,98,135,162,4,18,0,2,2017-09-03T10:00:00Z,2017-09,8533,184
95,184377348315163_1424195101000042,682,184e12,Ford UK,Keep driving forwards Geraint Thomas!,2017-09-06T16:51:21Z,video,https://www.facebook.com/forduk/videos/1424195101000042/,19,20,9,2,0,0,3,2017-09-06T16:51:21Z,2017-09,696,11
96,184377348315163_1427649220654630,265,184e12,Ford UK,An incredible double. Chris Froome and Team Sky have backed up their Le Tour de France win by conquering La Vuelta. Congratulations.,2017-09-10T19:26:10Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1427649130654639/?type=3,14,19,21,0,2,0,0,2017-09-10T19:26:10Z,2017-09,288,23
97,184377348315163_10155545370503820,129,184e12,Ford UK,Ken Block and Andreas Bakkerud drive the Ford Focus RS RX in the FIA World Rallycross Championship. Learn more about this beast here.,2017-09-18T10:13:07Z,video,https://www.facebook.com/forduk/videos/10155545370503820/,14,58,3,0,1,0,0,2017-09-18T10:13:07Z,2017-09,133,4
98,184377348315163_10155548134413820,66,184e12,Ford UK,Kick off Monday with highlights of Ken Block and Andreas Bakkerud from last weekend's  FIA World Rallycross Championship Latvia race in the Focus RS RX.,2017-09-19T17:00:00Z,video,https://www.facebook.com/forduk/videos/10155548134413820/,4,12,4,0,1,0,0,2017-09-19T17:00:00Z,2017-09,71,5
99,184377348315163_1437136053039280,406,184e12,Ford UK,Parkers has announced its winners for the 2018 New Car Awards. Best car for thrill seekers? You betcha.,2017-09-20T08:47:46Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1437135103039375/?type=3,47,59,38,1,6,0,0,2017-09-20T08:47:46Z,2017-09,451,45
100,184377348315163_1437171963035689,204,184e12,Ford UK,Meet Matthias Tonn: The man behind unleashing Ford Performance's potential.,2017-09-20T10:00:00Z,link,https://www.pistonheads.com/news/ph-advertorial/promoted-people-behind-rs--matthias-tonn/36753,37,9,6,2,1,0,1,2017-09-20T10:00:00Z,2017-09,214,9
101,184377348315163_1438454709574081,35,184e12,Ford UK,<ed><U+00A0><U+00BD><ed><U+00BA><U+00B4>  Job done. An end to a fantastic season. Time for Chris Froome and Team Sky to get some well-deserved R&R before a big 2018.,2017-09-21T16:15:48Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1438454432907442/?type=3,0,2,0,0,0,0,0,2017-09-21T16:15:48Z,2017-09,35,0
102,184377348315163_1441924369227115,1467,184e12,Ford UK,Two motoring titans. See what makes each of them unique.,2017-09-25T16:11:17Z,link,https://www.pistonheads.com/news/ph-advertorial/promoted-ford-focus-rs-v-ford-mustang-video/36804,283,204,89,1,19,0,1,2017-09-25T16:11:17Z,2017-09,1577,109
103,184377348315163_1444109082341977,211,184e12,Ford UK,Coming soon: The Ford GT and Norway's Atlantic Highway.,2017-09-28T10:46:19Z,video,https://www.facebook.com/forduk/videos/1444109082341977/,13,23,20,0,7,0,0,2017-09-28T10:46:19Z,2017-09,238,27
104,184377348315163_1445015345584684,8243,184e12,Ford UK,Why have a horse and carriage when you can have a pony?,2017-10-02T10:50:00Z,photo,https://www.facebook.com/forduk/photos/a.206936006059297.51708.184377348315163/1445015108918041/?type=3,375,214,588,46,131,6,1,2017-10-02T10:50:00Z,2017-10,9015,765
105,184377348315163_1451011411651744,6,184e12,Ford UK,"Ford engineers and Primary Engineer partner with 20 local primary schools to support 40 teachers as they guide their pupils through designing and building an electric vehicle, encouraging more young people to study STEM subjects.  
To find out more about Primary Engineer   <U+27A1><U+FE0F> home.primaryengineer.com/",2017-10-04T11:00:00Z,photo,https://www.facebook.com/forduk/photos/a.1451006871652198.1073741966.184377348315163/1451011411651744/?type=3,1,20,0,0,0,0,0,2017-10-04T11:00:00Z,2017-10,6,0
106,184377348315163_1451188668300685,1120,184e12,Ford UK,Train to be a movie stunt driver. Shoot your scenes and take home your trailer. Tickets selling fast - book yours <ed><U+00A0><U+00BD><ed><U+00B1><U+0089> http://ford.to/GoFasterUK,2017-10-06T15:45:00Z,video,https://www.facebook.com/forduk/videos/1451188668300685/,439,348,64,5,37,0,1,2017-10-06T15:45:00Z,2017-10,1227,106
